asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-15 01:00:00,1607990400,88.9,74.7,1817.97363696
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-16 01:00:00,1608076800,73.29,71.0,3029.10276339
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-17 01:00:00,1608163200,71.96,69.75,2482.41453012
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-18 01:00:00,1608249600,68.32,73.31,3128.59467169
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-19 01:00:00,1608336000,73.8,72.09,1694.05255764
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-20 01:00:00,1608422400,72.15,69.97,1684.41017949
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-21 01:00:00,1608508800,69.37,66.44,2185.20144402
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-22 01:00:00,1608595200,66.0,69.66,1718.12155791
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-23 01:00:00,1608681600,69.27,61.82,1938.83164297
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-24 01:00:00,1608768000,61.21,66.11,1205.02697687
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-25 01:00:00,1608854400,66.45,65.09,544.18463417
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-26 01:00:00,1608940800,65.06,61.57,427.43820735
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-27 01:00:00,1609027200,62.24,63.35,1016.71937366
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-28 01:00:00,1609113600,64.15,66.95,2145.76024378
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-29 01:00:00,1609200000,66.9,63.38,1126.46186075
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-30 01:00:00,1609286400,64.07,66.3,4588.1636953
AAVEEUR,AAVE/EUR,AAVE,EUR,2020-12-31 01:00:00,1609372800,65.13,71.94,3186.99219714
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-01 01:00:00,1609459200,72.42,74.12,2238.92203416
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-02 01:00:00,1609545600,74.6,68.87,2654.26805207
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-03 01:00:00,1609632000,68.64,73.03,3054.14232584
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-04 01:00:00,1609718400,74.08,93.35,10926.37661476
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-05 01:00:00,1609804800,93.41,97.65,6100.14290595
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-06 01:00:00,1609891200,97.68,93.14,5766.12358199
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-07 01:00:00,1609977600,92.7,93.4,4920.50091548
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-08 01:00:00,1610064000,94.17,90.13,5022.64638213
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-09 01:00:00,1610150400,90.21,94.1,1664.1211957
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-10 01:00:00,1610236800,94.78,103.45,3544.03681181
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-11 01:00:00,1610323200,103.0,94.63,6483.67279454
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-12 01:00:00,1610409600,94.27,104.48,6603.29132076
AAVEEUR,AAVE/EUR,AAVE,EUR,2021-01-13 01:00:00,1610496000,103.3,121.67,7330.16812568
